ID_Alumno,Nombre,Apellidos,Sexo,Nota_Final,Faltas_Asistencia
76,Samu,Ripoll Artigas,F,4.62,1
77,Fito,Salinas Bartolomé,M,9.29,13
78,Juan Antonio,Criado Salom,F,0.62,5
79,Belén,Torrens Abad,F,9.83,17
80,Soledad,Arias Urrutia,F,8.4,1
81,Máximo,Miguel Solera,M,8.87,29
82,Aureliano,Ribes Fabra,M,6.37,7
83,Carlota,Blanco Castrillo,M,8.8,16
84,Albino,Querol Rios,M,5.29,5
85,Maximiano,Acero García,F,6.15,5
86,Alberto,Abril Álvaro,F,7.07,26
87,Emma,Cabañas Farré,M,4.41,30
88,Diego,Fiol Mate,F,2.34,21
89,Lino,Esparza Cabrera,F,1.21,29
90,Alba,Puente Bertrán,M,9.89,2
91,Alfredo,Llobet Santamaría,M,1.25,8
92,Nereida,Carmona Jerez,F,5.35,7
93,Eliseo,Viñas Oliver,F,1.49,6
94,Darío,Cortes Lopez,M,2.11,11
95,Renata,Alfonso Arnal,F,9.6,9
96,Apolinar,Fuster Jover,F,5.92,10
97,Celestina,Miranda Pedraza,M,4.45,30
98,Clementina,Arnal Urrutia,F,0.95,2
99,Leticia,Segarra Rozas,F,8.54,23
100,Ramón,Escalona Galiano,F,4.34,16
101,Remigio,Manuel Agullo,F,5.62,11
102,Emiliano,Corbacho Linares,M,2.38,11
103,Nazario,Nebot Pedrero,F,9.04,28
104,Lina,Bueno Neira,F,7.53,15
105,Melisa,Araujo Armengol,F,0.7,8
106,Julián,Céspedes Conde,M,5.66,29
107,Dalila,Mancebo Paniagua,F,5.98,20
108,Ruperto,Castilla Marcos,M,1.92,24
109,Darío,Tejera Heras,F,8.78,2
110,Atilio,Mena Escobar,F,8.03,20
111,Rocío,Zabala Belda,F,8.63,4
112,Marciano,Quintana Moya,M,9.26,1
113,Marcelino,Ribera Camps,F,0.48,26
114,Conrado,Teruel Sáez,F,4.7,11
115,Nicolás,Nuñez Casanova,F,1.54,29
116,Alejandra,Carmona Valenciano,F,3.33,0
117,Teodosio,Arellano Matas,F,3.45,27
118,Nico,Cortés Diaz,M,3.94,7
119,Eugenia,Peña Bonet,F,3.68,21
120,Blas,Blazquez Figuerola,F,7.87,2
121,Maribel,Giner Barriga,M,3.76,25
122,Rogelio,Aguiló Cabañas,M,2.97,11
123,Rufino,Villena Manjón,F,2.63,24
124,Vidal,Torres Gaya,M,4.16,19
125,Teo,Blanes Pedrosa,F,2.33,17
126,Isidro,Julián Diaz,F,0.98,17
127,Tomás,Fernandez Palmer,F,6.4,15
128,Darío,Bartolomé Amorós,M,4.28,4
129,Vanesa,Zaragoza Sanmiguel,F,1.26,24
130,Marina,Franch Carrera,M,5.96,22
131,Anastasia,Puig Jerez,M,2.24,29
132,Hipólito,Arnal Garzón,F,5.27,17
133,Estrella,Coll Calvo,F,6.82,5
134,Hector,Sedano Pineda,F,7.99,10
135,Porfirio,Corbacho Calvo,F,10.0,25
136,Débora,Torrents Colomer,M,2.73,26
137,Cintia,Ramis Rocha,M,5.82,1
138,Saturnina,Vázquez Valbuena,M,8.63,6
139,Iris,Mora Valentín,F,2.49,1
140,Andrea,Franch Gilabert,F,7.83,30
141,Agapito,Nieto Monreal,F,4.82,14
142,Olimpia,Montserrat Aranda,M,3.47,27
143,Beatriz,Colomer Jimenez,M,4.1,16
144,Elisa,Costa Pinilla,M,9.05,27
145,Dafne,Mariscal Sosa,F,9.98,29
146,Blas,Blazquez Villalonga,M,7.23,20
147,Ruperta,Ariza Batalla,M,2.14,21
148,Jafet,Castrillo Armas,M,5.82,16
149,Marcelo,Alcántara Sanabria,F,3.95,16
150,Natalio,Cuevas Comas,F,0.62,25
151,Ruperta,Serna Pera,M,0.69,14
152,Anselma,Piña Vallés,M,5.81,5
153,Anastasio,Botella Villaverde,F,9.67,0
154,Marta,Benito Roldan,F,6.63,29
155,Vicenta,Fábregas Manjón,F,3.19,8
156,Blanca,Rios Toledo,M,3.47,8
157,Ramona,Pont Guillen,M,9.21,30
158,Renata,Almagro Abad,F,0.22,15
159,Manu,Espada Mate,F,1.47,29
160,Anunciación,Iñiguez Méndez,M,7.25,20
161,Blas,Uriarte Juárez,F,6.26,6
162,Paloma,Mateo Raya,M,5.33,17
163,Rodrigo,Pla Barrios,F,1.05,6
164,Fernando,Castejón Haro,F,4.33,27
165,Luciano,Múñiz Baquero,F,4.66,17
166,Andrés Felipe,Teruel Rios,M,0.31,16
167,Epifanio,Téllez Bilbao,M,3.86,7
168,Ignacia,Cordero Osorio,F,7.66,4
169,Sergio,Aranda Solano,M,1.68,22
170,Rolando,Segarra Arévalo,M,3.76,15
171,Cosme,Sotelo Cordero,F,4.26,26
172,Alex,Antúnez Cazorla,F,0.69,15
173,Eva María,Morante Calzada,F,4.25,6
174,Juana,Olivares Ferrero,M,9.12,0
175,Rodolfo,Trujillo Cantero,M,2.67,14
176,Socorro,Barrena Solera,M,6.42,15
177,Encarnacion,Nebot Casanova,F,3.39,27
178,Isabel,Marti Castejón,M,6.25,17
179,Viviana,Ponce Marin,F,8.16,5
180,Yésica,Carrión Villena,M,5.45,27
181,Rosalinda,Fajardo Arenas,M,4.2,0
182,Merche,Pou Sales,F,5.46,5
183,Ramiro,Farré Sarabia,F,6.73,29
184,Pepe,Benet Arribas,F,3.22,10
185,Valeria,Ariño Torre,F,6.04,8
186,José Mari,Amor Viña,M,0.22,25
187,Griselda,Garzón Gras,M,4.14,3
188,Ciro,Vallés Zabaleta,F,4.29,9
189,Sosimo,Vendrell Mayoral,F,1.84,25
190,Danilo,Coello Rojas,F,7.95,7
191,Tecla,Roca Blasco,M,2.75,7
192,Cruz,Ricart Barros,F,4.71,12
193,Conrado,Ribes Costa,M,2.69,24
194,Macarena,Anglada Salom,M,6.55,30
195,Tomás,Rincón Andrés,M,5.04,27
196,Anabel,Morata Iriarte,M,7.02,28
197,Cayetano,Ortuño Bejarano,F,7.62,26
198,Domingo,Palomar Andreu,M,4.87,16
199,Onofre,Oliveras Enríquez,F,6.87,25
200,Agustín,Gual Paz,M,2.22,14
201,Calisto,Clemente Galiano,M,8.19,27
202,Abraham,Fuentes Casal,M,8.39,10
203,Mariana,Aguilar Marcos,M,3.74,20
204,Rafa,Amat Guerrero,F,7.67,16
205,Rosa María,Cifuentes Estévez,F,5.55,11
206,Wilfredo,Capdevila Tapia,M,9.75,10
207,Omar,Jordá Castillo,M,1.42,30
208,Amaro,Galindo Paredes,M,9.38,22
209,Nico,Sáenz Marco,F,2.28,0
210,Manu,Morillo Espejo,M,6.91,23
211,Dorita,Berrocal Calderon,F,3.61,13
212,Bibiana,Mena Crespi,M,8.55,29
213,Renato,Collado Casares,M,6.28,29
214,Nilda,Gisbert Moles,F,5.29,16
215,Apolonia,Herrero Guzmán,M,2.04,5
216,Marisela,Espejo Manuel,M,2.31,17
217,Ramón,Rivas Arteaga,M,8.61,1
218,Rosalinda,Catalán Almansa,F,1.59,16
219,Rufino,Bermejo Beltran,M,4.75,11
220,Eligio,Rivera Marí,F,7.81,5
221,Carmelita,Riera Cisneros,F,0.81,2
222,Domitila,Roca Martí,M,8.92,3
223,Febe,Pacheco Blazquez,M,0.25,22
224,Jose Ramón,Sales Peiró,M,5.54,26
225,Febe,Ángel Barco,M,6.81,23
226,Renato,Real Aguirre,F,0.72,5
227,Silvestre,Montes Sainz,M,5.54,4
228,Herminio,Peral Marcos,M,9.57,5
229,Adriana,Bou Esteve,F,0.92,4
230,Natividad,Camps Lluch,M,6.97,7
231,Dani,Correa Salmerón,F,9.45,9
232,Íngrid,Pujadas Esteve,M,2.8,1
233,María Jesús,Robles Rosales,F,1.0,30
234,Félix,Huguet Santana,F,8.86,11
235,Noé,Zabala Cisneros,F,3.24,8
236,Pedro,Sevillano Bolaños,M,9.78,20
237,Almudena,Frías Mariño,F,4.54,1
238,Abel,Sanchez Sevilla,F,1.53,9
239,Adrián,Gil Martín,F,5.68,4
240,Darío,Mascaró Costa,F,4.45,24
241,Teobaldo,Soto Bru,M,8.63,6
242,Irene,Valenciano Guerra,M,8.0,15
243,Candelaria,Ramirez Losada,F,6.46,30
244,Evelia,Almeida Carrillo,F,7.23,10
245,Julián,Armas Abad,F,0.14,24
246,José María,Puig Zorrilla,F,8.5,11
247,Tania,Prieto Sales,M,5.89,21
248,Cristian,Iriarte Otero,F,2.62,26
249,Loreto,Ferrández Blázquez,M,7.76,13
250,Andrés Felipe,Bejarano Jáuregui,F,8.8,6
251,Marcos,Nieto Carrasco,M,0.76,14
252,Benita,Ibañez Cárdenas,M,4.74,27
253,Borja,Ribera Manjón,M,8.5,26
254,Lorenzo,Vizcaíno Cañizares,F,5.14,12
255,Consuela,Zabala Gallo,M,1.01,15
256,Bernardita,Calzada Reig,F,5.98,15
257,Fabiana,Quintanilla Lopez,F,1.38,8
258,Luís,Salamanca Peral,F,1.58,25
259,Clementina,Cervera Crespo,F,5.7,21
260,Duilio,Carreño Pizarro,F,6.98,18
261,Salvador,Solé Chaparro,M,1.04,20
262,Charo,Martínez Pablo,M,9.04,26
263,Evelia,Suárez Ribes,M,9.84,10
264,Isaías,Tapia Torrijos,F,2.4,24
265,Jordana,Valls Monreal,F,4.9,29
266,América,Barrena Saldaña,M,4.1,3
267,Marcelo,Clavero Valbuena,M,4.88,12
268,Baldomero,Garriga Amigó,F,8.58,15
269,Pedro,Soto Portillo,F,7.78,29
270,Susanita,Agustín Zurita,F,3.09,24
271,Bonifacio,Bertrán Prats,M,3.55,23
272,Adolfo,Paniagua Armengol,F,3.12,21
273,David,Acevedo León,F,1.24,2
274,Samanta,Marco González,M,0.07,16
275,Epifanio,Maestre Feijoo,F,9.14,1
276,Cruz,Roura Serna,M,1.96,21
277,Lilia,Murillo Plana,M,1.76,16
278,Florentino,Muro Robles,F,5.64,21
279,Flora,Rozas Colomer,M,4.03,5
280,Victorino,Coloma Zamora,M,5.65,11
281,Maximiano,Castelló Gallardo,F,0.26,1
282,Visitación,Estévez Saldaña,M,5.76,18
283,Paco,Porcel Roma,M,6.43,0
284,Noemí,Téllez Porras,F,4.84,22
285,Luna,Gimeno Ferrández,F,6.6,27
286,Valentín,Fuente Ayala,M,7.03,13
287,Vicenta,Pont Aragonés,M,6.44,5
288,Joaquín,Blazquez Estévez,F,9.49,26
289,Prudencio,Barberá Durán,M,8.4,24
290,Joan,Martorell Bolaños,F,4.55,18
291,Julie,Vigil Luís,F,3.19,12
292,María Manuela,Osuna Reina,M,3.37,6
293,Álvaro,Balaguer Villalonga,F,9.96,3
294,Graciela,Ros Sanz,F,6.05,27
295,Amelia,Iñiguez Tamarit,M,9.75,13
296,Ildefonso,Navas Larrañaga,F,4.96,27
297,Aristides,Arranz Badía,F,4.87,10
298,Fermín,Olmo Acevedo,M,0.4,3
299,Luis Miguel,Aguilar Checa,F,9.89,26
300,Bernardo,Roman Girona,F,5.94,7
301,Emelina,Puente Giner,M,4.27,12
302,Wilfredo,Fernández Nicolás,F,8.39,6
303,Ema,Calatayud Boada,F,5.03,16
304,Narcisa,Montaña Moraleda,F,4.14,16
305,Blanca,Sarmiento Morcillo,M,7.9,7
306,José Mari,Andres Yuste,F,1.48,13
307,Arsenio,Falcón Peinado,F,6.75,27
308,Cecilio,Gallego Zamorano,F,8.01,23
309,Osvaldo,Expósito Fortuny,F,8.48,18
310,José,Mata Miguel,M,0.58,9
311,Asunción,Planas Iñiguez,M,6.96,29
312,Alma,Núñez Heredia,F,1.29,15
313,Arsenio,Maza Belmonte,M,6.24,17
314,Agapito,Serna Valbuena,F,8.65,0
315,Lourdes,Ríos Asenjo,M,3.6,29
316,Yéssica,Revilla Uriarte,M,9.4,13
317,Édgar,Sacristán Carranza,M,3.63,4
318,Che,Bertrán Hernando,M,5.14,8
319,Conrado,Corral Riba,M,5.32,24
320,Soledad,García Saez,M,0.73,1
321,Emperatriz,Benítez Roldán,F,5.73,8
322,Celia,Prado Ariza,F,7.14,13
323,Geraldo,Iborra Trillo,M,0.48,1
324,Isidro,Castellanos Lorenzo,M,3.74,15
325,Pastor,Montenegro Royo,F,5.93,9
326,Custodio,Machado Fortuny,F,9.85,16
327,Leonor,Martin Sala,M,6.37,13
328,Aroa,Sevilla Julián,F,1.15,6
329,Leandro,Guardiola Alegre,F,7.01,28
330,Diego,Cabeza Duque,M,5.41,1
331,Luz,Ribera Ibarra,M,2.36,16
332,Isaías,Luís Agudo,M,7.5,20
333,Manuela,Villalba Romero,F,0.41,29
334,Rosa María,Ayala Carro,M,2.49,13
335,Rodrigo,Llamas Carrasco,M,10.0,9
336,Maite,Palomar Gras,M,3.11,16
337,Imelda,Luján Giralt,M,7.3,7
338,Manola,Heredia Barón,M,4.68,12
339,Aura,Meléndez Morán,M,8.5,9
340,Joaquín,Perea Tenorio,M,0.75,5
341,Luciano,Donoso Cervantes,M,2.76,8
342,Nélida,Alcántara Vargas,F,4.09,11
343,Nacio,Pedraza Amaya,M,0.14,3
344,Octavia,Castilla Priego,F,9.55,11
345,Fabián,Elorza Vicens,F,6.39,22
346,Carmelo,Cerdá Fábregas,F,4.5,6
347,Merche,Valdés García,F,0.87,3
348,Joel,Catalán Guillen,F,5.18,7
349,Martirio,Planas Osuna,F,5.69,17
350,Emelina,Cazorla Valentín,M,7.89,17
351,Valentina,Campoy Amo,F,2.61,23
352,Belen,Palmer Torrijos,M,4.48,7
353,Xavier,Mendizábal Alberola,F,9.19,15
354,Isidro,Cánovas Uría,M,4.19,1
355,Nydia,Terrón Mir,F,9.98,6
356,Julie,Bermúdez Jove,F,8.54,16
357,Emigdio,Querol Feijoo,M,6.07,2
358,Paca,Moliner Manzanares,M,2.63,25
359,Rodrigo,Barranco Gallardo,M,7.62,26
360,Antonio,Miró Iborra,M,1.45,23
361,Olegario,Sainz Gonzalez,F,2.52,23
362,Juan Bautista,Núñez Cámara,M,4.38,1
363,Marcos,Alegria Palacio,F,1.98,18
364,Consuela,Barragán Corbacho,M,9.77,24
365,Patricio,Alonso Tudela,M,7.72,19
366,Eulalia,Barriga Amat,F,7.29,4
367,Jose Antonio,Arrieta Alberola,F,9.12,19
368,Jaime,Morillo Batlle,F,9.19,25
369,Otilia,Barrios Ochoa,M,9.05,5
370,Gracia,Rocamora Cerdán,F,7.63,27
371,Tecla,Gascón Sanchez,M,5.19,9
372,Trinidad,Cifuentes Palma,M,3.53,26
373,Mateo,Elorza Mulet,M,7.83,3
374,Luisa,Real Piñeiro,M,0.64,22
375,Agapito,Recio Laguna,M,8.38,21
376,Bibiana,Sevillano Arnaiz,F,7.78,14
377,Clara,Casado Rebollo,M,7.65,22
378,Rosario,Donoso Acero,M,8.6,12
379,Angelita,Chacón Vilaplana,F,7.55,25
380,Priscila,Colomer Bernal,M,1.38,30
381,Narciso,Gámez Egea,F,1.69,28
382,Jose Manuel,Alonso Domingo,F,6.19,28
383,Manuelita,Diéguez Bermudez,M,5.19,22
384,Teófilo,Calleja Sebastián,F,9.94,20
385,Leocadia,Conesa Arjona,F,3.5,7
386,José Antonio,Nieto Peñas,M,2.12,18
387,Amando,Arce Valderrama,M,9.98,6
388,Chuy,Palma Marco,M,2.51,30
389,Hilda,Contreras Sedano,F,6.43,1
390,Jonatan,Vera Pagès,F,9.29,30
391,Fermín,Quiroga Nebot,F,0.63,6
392,Julián,Ugarte Pozo,M,5.72,24
393,Albino,Mercader Maldonado,F,7.68,3
394,Carmelita,Somoza Arana,F,4.93,30
395,María Teresa,Jáuregui Arenas,F,3.46,10
396,Xavier,Prats Carretero,F,3.62,18
397,Sancho,Olivares Valcárcel,F,0.84,24
398,Aurelio,Almansa Llano,F,4.64,30
399,Manola,Aramburu Izquierdo,F,0.46,12
400,Isa,Manjón Galan,M,8.6,4
401,María Belén,Ángel Villalonga,M,4.62,2
402,Noé,Polo Iglesia,F,2.57,6
403,Horacio,Carmona Mur,F,4.77,24
404,Noa,Herrera Osuna,F,5.66,8
405,Fermín,Coronado Muro,F,7.35,25
406,Raquel,Agullo Azcona,M,7.89,23
407,Clara,Costa Ocaña,F,5.35,2
408,Primitivo,Manuel Marcos,F,3.81,26
409,Mohamed,Uría Quintanilla,F,4.13,11
410,Eliana,Rosa Domínguez,F,3.2,28
411,Abel,Chico Arranz,M,2.9,7
412,Vasco,Casas Noguera,F,1.59,2
413,Úrsula,Agustí Tenorio,M,7.25,5
414,Virginia,Jiménez Expósito,M,4.82,13
415,Buenaventura,Rodrigo Lopez,M,9.62,12
416,Paulina,Dávila Ávila,F,6.94,29
417,Fortunato,Barroso Criado,F,4.86,4
418,Cruz,Canet Varela,F,6.5,20
419,Evelia,Planas Royo,F,4.18,3
420,Juan Pablo,Merino López,M,0.29,11
421,Albert,Romero Lozano,M,8.58,8
422,Juan,Águila Monreal,F,7.56,4
423,Octavio,Falcón Rosales,F,2.74,9
424,Máxima,Cifuentes Aguado,F,7.36,11
425,Maricela,Vidal Cortés,M,2.14,25
426,Milagros,Plana Paniagua,M,0.07,10
427,Abril,Arce Requena,M,2.5,25
428,Fanny,Gracia Alcázar,M,1.64,3
429,Porfirio,Ángel Cuadrado,F,4.22,3
430,Irma,Ferreras Pablo,M,3.07,2
431,Eulalia,Valdés Aliaga,F,6.38,6
432,Lupe,Ibañez Herranz,M,0.39,11
433,Leonardo,Esteve Rivera,F,2.2,0
434,Casemiro,Samper Guzmán,F,0.4,20
435,Mar,Sancho Verdú,M,1.47,26
436,Teresa,Cabrera Fabra,M,0.66,7
437,Fidel,Saez Bas,M,3.49,18
438,Íngrid,Roldan Prat,M,0.11,11
439,Lalo,Iriarte Ruiz,M,4.01,0
440,Socorro,Palacio Mosquera,M,4.64,24
441,Cipriano,Melero Andrés,M,3.25,14
442,América,Alba Iglesia,F,0.17,30
443,Hermenegildo,Puga Pomares,F,6.13,14
444,Tristán,Porras Arenas,M,6.77,20
445,Dafne,Sola Pacheco,M,2.61,8
446,Paula,Castañeda Lopez,F,1.96,28
447,Nacio,Amador Puig,F,1.97,2
448,Ainoa,Vélez Cerdá,M,1.47,11
449,Ariel,Bertrán Olivera,M,9.7,26
450,Poncio,Acuña Baños,F,4.44,4
451,Graciano,Cano Sotelo,M,6.44,7
452,Armando,Miranda Amaya,F,1.82,13
453,Maxi,Pozo Casares,F,8.36,3
454,María Del Carmen,Llopis Ramos,M,9.14,29
455,Herminia,Cisneros Coloma,F,9.24,15
456,Sancho,Maza Vidal,F,2.94,11
457,Benito,Cánovas Casares,M,2.67,11
458,Teodora,Cañete Terrón,M,4.6,17
459,Julieta,Artigas Vizcaíno,F,3.57,15
460,Armando,Ponce Escribano,M,0.17,1
461,Omar,Blanch Berrocal,F,0.58,26
462,Charo,Díaz Lara,M,2.11,23
463,Heriberto,Julián Mosquera,M,4.27,15
464,Juanita,Izaguirre Jove,F,8.18,19
465,Asunción,Sastre Cortina,M,4.01,29
466,Maristela,Sanchez Corominas,M,4.75,8
467,Antonio,Elorza Vila,F,0.95,10
468,Anastasio,Molina Bellido,M,4.12,5
469,Guadalupe,Saura Gómez,M,8.58,22
470,Octavia,Segarra Yuste,F,1.89,10
471,Feliciano,Múgica Cepeda,F,7.94,7
472,Alba,Barceló Blanca,F,7.56,24
473,Otilia,Villaverde Nuñez,F,4.42,30
474,Abilio,Bernal Calleja,F,2.73,9
475,Teófilo,Ortuño Sanmiguel,F,2.82,2
476,Nico,Pineda Vila,F,3.22,17
477,Porfirio,Carrera Cerdán,M,8.97,15
478,Maximiliano,Alsina Esparza,M,5.1,25
479,Macarena,Casares Aliaga,M,7.57,0
480,Nicolás,Ferrando Arregui,F,1.29,17
481,Severiano,Barrios Merino,F,0.15,9
482,Natividad,Porras Azorin,F,3.58,10
483,Eli,Diéguez Pallarès,F,0.7,17
484,Zaida,Berenguer Real,M,9.61,18
485,Baltasar,Saez Pacheco,F,2.29,21
486,Elisabet,Jaume Menendez,F,0.89,14
487,Chus,Santiago Revilla,M,5.66,20
488,Gerardo,Anglada Santiago,M,8.02,10
489,Nidia,Laguna Farré,F,7.37,17
490,Roldán,Baró Pallarès,F,1.08,18
491,Clemente,Casal Amo,F,4.17,13
492,Pascual,Almazán Elorza,M,8.21,3
493,Sancho,Alcalde Moraleda,F,6.02,17
494,Yago,Valcárcel Tamayo,M,0.88,26
495,Cecilio,Aznar Quesada,F,8.14,10
496,Morena,Jáuregui Amorós,F,2.44,22
497,Flora,Villalobos Báez,F,4.72,30
498,Piedad,Bernat Múgica,F,6.0,10
499,Plinio,Cabello Soto,M,8.72,7
500,Anacleto,Correa Villalonga,M,3.89,6
501,Eufemia,Madrid Arco,M,4.52,15
502,Aarón,Peñas Nebot,F,9.85,14
503,Faustino,Collado Cueto,F,2.58,14
504,Félix,Cuenca Herrera,M,8.03,17
505,Selena,Moya Alvarez,F,3.57,28
506,Almudena,Puig Arregui,F,8.49,3
507,Jaime,Hernandez Lucena,F,4.55,21
508,Nando,Domínguez Gárate,F,7.33,2
509,Pastor,Gonzalez Céspedes,F,2.22,27
510,Selena,Rivero Sierra,F,9.05,4
511,Prudencio,Cervera Pomares,F,3.69,12
512,Clara,Alcalde Cámara,F,5.92,19
513,Dalila,Adán Porta,M,4.28,9
514,Lina,Dueñas Comas,M,0.81,19
515,Alejo,Amaya Morales,F,0.23,28
516,Arcelia,Acevedo Arenas,F,2.83,19
517,Asdrubal,Caparrós Coloma,F,4.2,29
518,Melania,Coronado Pino,M,6.96,14
519,Mirta,Amor Riquelme,M,4.02,9
520,Tristán,Méndez Huguet,M,6.19,28
521,Ágata,Cervera Pascual,M,1.97,3
522,Arcelia,Gascón Páez,M,2.17,25
523,Camilo,Castilla Raya,F,5.72,1
524,Clarisa,Orozco Bárcena,M,0.27,14
525,Tomás,Rubio Hoyos,F,8.62,12
526,Adriana,Pizarro Gomila,M,3.99,26
527,Yésica,Prat Heredia,F,3.08,2
528,Filomena,Teruel Puerta,F,8.24,14
529,Zoraida,Bayón Iniesta,F,9.64,26
530,Leoncio,Zurita Peral,F,5.54,0
531,Candela,Almeida Sánchez,F,2.72,30
532,Sarita,Gálvez Llorente,F,9.01,0
533,Apolinar,Montoya Portillo,F,1.56,0
534,Eugenia,Campillo Atienza,F,6.17,17
535,Ernesto,Poza Amor,F,1.02,3
536,María Jesús,Robledo Pozuelo,F,6.21,22
537,Toribio,Calvo Serna,M,4.17,3
538,Elisabet,Sevilla Cuéllar,M,7.14,28
539,Fortunato,Niño Sánchez,F,2.51,1
540,Segismundo,Cuenca Luz,F,3.42,2
541,María Belén,Vara Capdevila,M,6.93,14
542,Rafa,Ojeda Clavero,M,9.53,9
543,Eusebia,Pallarès Suárez,F,4.44,18
544,Eva María,Villena Balaguer,F,5.74,8
545,Gustavo,Jiménez Elorza,F,6.2,8
546,Loreto,Morata Marti,M,7.39,30
547,Ricardo,Armengol Manuel,F,6.11,18
548,Carmen,Rosado Arana,F,4.37,5
549,Isabel,Reguera Leon,F,5.63,0
550,Remigio,Galindo Oliver,F,9.47,5
551,Eloy,Catalán Canet,M,5.69,19
552,Emperatriz,Palau Daza,F,1.77,20
553,Américo,Ros Puig,M,7.04,8
554,Abigaíl,Benitez Bermejo,F,5.53,20
555,Mayte,Roig Chacón,M,3.43,15
556,Fortunato,Coronado Galan,M,2.53,5
557,Fidel,Gracia Andreu,F,9.89,2
558,Beatriz,Cerdá Ureña,M,1.59,10
559,Pepe,Maestre Naranjo,M,0.8,27
560,Isaura,Carrasco Rebollo,F,4.37,17
561,María Teresa,Juárez Cuadrado,M,2.52,10
562,Octavio,Valls Mármol,F,7.23,14
563,Berta,Coca Peñalver,F,3.45,15
564,Manola,Mayoral Guitart,M,3.18,11
565,Silvia,Pinedo Olivares,F,3.46,0
566,Rosario,Soto Vidal,F,2.72,19
567,Mariano,Redondo Ramos,F,3.25,13
568,Odalis,Cabañas Correa,M,1.65,14
569,Eusebio,Adadia Villar,M,0.57,2
570,Custodio,Fuentes Vilanova,F,2.68,5
571,Dan,Lasa Domingo,M,5.36,3
572,Remigio,Blázquez Araujo,F,4.19,14
573,Agustín,Carlos Paredes,F,1.87,20
574,Olga,Terrón Monreal,M,3.18,28
